,@frequency,provider_code,dataset_code,dataset_name,series_code,series_name,original_period,period,original_value,value,FREQ,unit,indic,s_adj,geo,Frequency,Unit of measure,Indicator,Seasonal adjustment,Geopolitical entity (reporting),nace_r2,Statistical classification of economic activities in the European Community (NACE Rev. 2)
0,monthly,Eurostat,ei_bsco_m,Consumers - monthly data,M.BAL.BS-CSMCI.NSA.DE,Monthly – Balance – Consumer confidence indicator – Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data) – Germany (until 1990 former territory of the FRG),1985-01,1985-01-01,-7.8,-7.8,M,BAL,BS-CSMCI,NSA,DE,Monthly,Balance,Consumer confidence indicator,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Germany (until 1990 former territory of the FRG),,
1,monthly,Eurostat,ei_bsco_m,Consumers - monthly data,M.BAL.BS-CSMCI.NSA.DE,Monthly – Balance – Consumer confidence indicator – Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data) – Germany (until 1990 former territory of the FRG),1985-02,1985-02-01,-8.5,-8.5,M,BAL,BS-CSMCI,NSA,DE,Monthly,Balance,Consumer confidence indicator,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Germany (until 1990 former territory of the FRG),,
2,monthly,Eurostat,ei_bsco_m,Consumers - monthly data,M.BAL.BS-CSMCI.NSA.DE,Monthly – Balance – Consumer confidence indicator – Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data) – Germany (until 1990 former territory of the FRG),1985-03,1985-03-01,-8.9,-8.9,M,BAL,BS-CSMCI,NSA,DE,Monthly,Balance,Consumer confidence indicator,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Germany (until 1990 former territory of the FRG),,
3,monthly,Eurostat,ei_bsco_m,Consumers - monthly data,M.BAL.BS-CSMCI.NSA.DE,Monthly – Balance – Consumer confidence indicator – Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data) – Germany (until 1990 former territory of the FRG),1985-04,1985-04-01,-8.5,-8.5,M,BAL,BS-CSMCI,NSA,DE,Monthly,Balance,Consumer confidence indicator,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Germany (until 1990 former territory of the FRG),,
4,monthly,Eurostat,ei_bsco_m,Consumers - monthly data,M.BAL.BS-CSMCI.NSA.DE,Monthly – Balance – Consumer confidence indicator – Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data) – Germany (until 1990 former territory of the FRG),1985-05,1985-05-01,-8.2,-8.2,M,BAL,BS-CSMCI,NSA,DE,Monthly,Balance,Consumer confidence indicator,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Germany (until 1990 former territory of the FRG),,
5,monthly,Eurostat,ei_bsco_m,Consumers - monthly data,M.BAL.BS-CSMCI.NSA.DE,Monthly – Balance – Consumer confidence indicator – Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data) – Germany (until 1990 former territory of the FRG),1985-06,1985-06-01,-9.3,-9.3,M,BAL,BS-CSMCI,NSA,DE,Monthly,Balance,Consumer confidence indicator,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Germany (until 1990 former territory of the FRG),,
6,monthly,Eurostat,ei_bsco_m,Consumers - monthly data,M.BAL.BS-CSMCI.NSA.DE,Monthly – Balance – Consumer confidence indicator – Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data) – Germany (until 1990 former territory of the FRG),1985-07,1985-07-01,-8.0,-8.0,M,BAL,BS-CSMCI,NSA,DE,Monthly,Balance,Consumer confidence indicator,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Germany (until 1990 former territory of the FRG),,
7,monthly,Eurostat,ei_bsco_m,Consumers - monthly data,M.BAL.BS-CSMCI.NSA.DE,Monthly – Balance – Consumer confidence indicator – Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data) – Germany (until 1990 former territory of the FRG),1985-08,1985-08-01,-7.6,-7.6,M,BAL,BS-CSMCI,NSA,DE,Monthly,Balance,Consumer confidence indicator,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Germany (until 1990 former territory of the FRG),,
8,monthly,Eurostat,ei_bsco_m,Consumers - monthly data,M.BAL.BS-CSMCI.NSA.DE,Monthly – Balance – Consumer confidence indicator – Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data) – Germany (until 1990 former territory of the FRG),1985-09,1985-09-01,-6.5,-6.5,M,BAL,BS-CSMCI,NSA,DE,Monthly,Balance,Consumer confidence indicator,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Germany (until 1990 former territory of the FRG),,
9,monthly,Eurostat,ei_bsco_m,Consumers - monthly data,M.BAL.BS-CSMCI.NSA.DE,Monthly – Balance – Consumer confidence indicator – Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data) – Germany (until 1990 former territory of the FRG),1985-10,1985-10-01,-5.4,-5.4,M,BAL,BS-CSMCI,NSA,DE,Monthly,Balance,Consumer confidence indicator,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Germany (until 1990 former territory of the FRG),,
